education,age,income,ad_clicked,attention,country_non-USA,gender_male,ad_position_top-right,ad_type_native,ad_category_Computers & Electronics,ad_category_Food & Drink,ad_category_Games,ad_category_Real Estate,ad_category_Shop - Apparel,ad_category_Shop - Event Ticket Sales,ad_category_Shop - Gifts & Special Event,ad_category_Shop - Luxury Goods,ad_category_Shop - Photo & Video Services,ad_category_Shop - Sporting Goods,ad_category_Shop - Toys,ad_category_Shop - Wholesalers & Liquidatr,ad_category_Travel
3.0,1.0,3.0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,,1,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,3.0,5.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,2.0,1.0,0,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,3.0,3.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.0,1.0,1.0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,2.0,3.0,0,5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,2.0,,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5.0,2.0,7.0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,7.0,5.0,0,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,2.0,1.0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1.0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,3.0,1.0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,3.0,1.0,1,5,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,3.0,8.0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,3.0,4.0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,5.0,3.0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,3.0,1.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5.0,3.0,3.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,4.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,5.0,4.0,0,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,5.0,2.0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,2.0,2.0,0,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,3.0,5.0,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,2.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,3.0,2.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,8.0,1.0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,2.0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,6.0,1.0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,4.0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,5.0,8.0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,4.0,4.0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,7.0,2.0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4.0,2.0,2.0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,5.0,6.0,0,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,1.0,4.0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,5.0,1.0,1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,2.0,1.0,1,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,5.0,,1,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,2.0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,1.0,0,4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1.0,1,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,1.0,1.0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,6.0,1.0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,4.0,2.0,1,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,4.0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,3.0,5.0,0,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,1.0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,6.0,1.0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,6.0,2.0,1,5,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,7.0,6.0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,2.0,1.0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,6.0,3.0,0,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,7.0,4.0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3.0,2.0,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,1.0,1.0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6.0,4.0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,3.0,3.0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,7.0,6.0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,6.0,4.0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,3.0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,2.0,2.0,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,3.0,4.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,3.0,,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,8.0,1.0,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,5.0,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,5.0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,3.0,1.0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,5.0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,4.0,1.0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,3.0,1.0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.0,2.0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,6.0,1.0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1.0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,1.0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,4.0,1.0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2.0,1.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,8.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,6.0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,3.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,2.0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,2.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.0,2.0,3.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.0,3.0,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,6.0,6.0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,5.0,4.0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,3.0,4.0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,4.0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,7.0,1.0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,3.0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,2.0,5.0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,2.0,3.0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,2.0,1.0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,6.0,1.0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,4.0,7.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,4.0,1.0,0,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,1.0,1.0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,4.0,7.0,1,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,4.0,1.0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,3.0,1.0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,6.0,3.0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,8.0,,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,3.0,1.0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,2.0,1.0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,4.0,1,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,5.0,1.0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,9.0,3.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5.0,3.0,6.0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,3.0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,2.0,2.0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,4.0,2.0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2.0,2.0,5.0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,1.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,5.0,2.0,0,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,4.0,1.0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,4.0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4.0,4.0,2.0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,2.0,1.0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,1.0,0,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.0,3.0,1.0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,7.0,2.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,4.0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,5.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,2.0,5.0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,1.0,1.0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,4.0,2.0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,7.0,3.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5.0,3.0,4.0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,4.0,3.0,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,4.0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,3.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.0,5.0,1.0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,4.0,3.0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,1.0,,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2.0,4.0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.0,1.0,1.0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,2.0,3.0,0,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,5.0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,3.0,5.0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,5.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,2.0,3.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,4.0,3.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,4.0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,5.0,1.0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,3.0,8.0,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1.0,4.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,3.0,3.0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,5.0,6.0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,6.0,2.0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,2.0,1.0,1,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4.0,2.0,3.0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,3.0,1.0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,1.0,1.0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,8.0,1.0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,1.0,1.0,1,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,7.0,5.0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,2.0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,2.0,,1,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,3.0,1.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,3.0,2.0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,7.0,1.0,0,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,6.0,4.0,0,5,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,9.0,4.0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.0,2.0,2.0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4.0,4.0,3.0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,5.0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,1.0,4.0,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,1.0,,1,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,3.0,3.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,2.0,4.0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4.0,2.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,8.0,2.0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,4.0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,1.0,2.0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,6.0,2.0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.0,3.0,1.0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,1.0,1.0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.0,4.0,1.0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,5.0,5.0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,5.0,1.0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,4.0,3.0,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,1.0,1.0,0,5,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,3.0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5.0,6.0,3.0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2.0,2.0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,4.0,3.0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,4.0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3.0,3.0,2.0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,6.0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,7.0,6.0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,1.0,1.0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3.0,1.0,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,5.0,3.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,3.0,1.0,1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,4.0,2.0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,2.0,1.0,1,5,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2.0,3.0,5.0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,2.0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,6.0,5.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1.0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,3.0,1.0,0,5,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,4.0,1.0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,2.0,1.0,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,7.0,6.0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,1.0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,1.0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3.0,1.0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,8.0,3.0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4.0,2.0,4.0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,7.0,4.0,0,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,7.0,6.0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
,2.0,1.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,2.0,5.0,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,2.0,3.0,0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,2.0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2.0,3.0,1.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4.0,2.0,2.0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,1.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,2.0,1.0,1,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,2.0,,1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4.0,2.0,,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2.0,3.0,1,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,4.0,4.0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3.0,5.0,4.0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2.0,2.0,3.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.0,1.0,2.0,0,5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5.0,7.0,1.0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,5.0,1.0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,2.0,1.0,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,2.0,2.0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,6.0,1.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,5.0,2.0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4.0,2.0,2.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,3.0,4.0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,4.0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,1.0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,4.0,3.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.0,3.0,5.0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,3.0,5.0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,6.0,3.0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2.0,6.0,2.0,0,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,2.0,,1,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,2.0,1.0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,5.0,1.0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,3.0,1.0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,1.0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,2.0,1.0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,2.0,,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
4.0,3.0,5.0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.0,6.0,3.0,0,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3.0,5.0,5.0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3.0,2.0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,3.0,5.0,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,4.0,1.0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1.0,5.0,1.0,0,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3.0,1.0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.0,5.0,6.0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2.0,3.0,,1,4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.0,3.0,1.0,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1.0,1.0,2.0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.0,4.0,4.0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.0,1.0,,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,3.0,2.0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2.0,1.0,1,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
